Gender,Age,Country/Region,Profession,Education Level,Favorite Celebrity/Genre,Free Time Interests,Online Habits,Life Goals
Female,38,Afghanistan,Trades and Services,College Degree,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,56,Norway,Trades and Services,Some High School,Music and Performing Arts,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,30,Cape Verde,Arts and Entertainment,College Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Female,60,Algeria,Business and Finance,College Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Male,40,Australia,Education and Research,Some High School,Literature and Writing,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,55,Madagascar,Trades and Services,High School Graduate,Film and Television,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,22,Honduras,Health and Wellness,College Degree,Literature and Writing,Reading or writing,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,30,Liechtenstein,Education and Research,High School Graduate,Film and Television,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,19,Turkmenistan,Business and Finance,Some College,Entrepreneurship and Business,Reading or writing,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,28,Christmas Island,Health and Wellness,College Degree,Entrepreneurship and Business,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,36,Saint Lucia,Health and Wellness,Some College,Entrepreneurship and Business,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,43,Niue,Tech and Engineering,Some High School,Entrepreneurship and Business,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,31,British Virgin Islands,Business and Finance,Some High School,Sports and Athletics,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,50,San Marino,Tech and Engineering,High School Graduate,Film and Television,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,46,Tonga,Business and Finance,Some High School,Sports and Athletics,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,38,Ukraine,Tech and Engineering,College Degree,Literature and Writing,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,26,Kenya,Business and Finance,College Degree,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,37,Tonga,Tech and Engineering,College Degree,Politics and Social Activism,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,28,Ethiopia,Tech and Engineering,High School Graduate,Sports and Athletics,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,51,Yemen,Trades and Services,High School Graduate,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,27,Reunion,Tech and Engineering,College Degree,Entrepreneurship and Business,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,53,Croatia,Education and Research,High School Graduate,Sports and Athletics,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,58,Malta,Tech and Engineering,Some College,Sports and Athletics,Reading or writing,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,65,Haiti,Tech and Engineering,Some College,Film and Television,Reading or writing,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,30,Cuba,Arts and Entertainment,College Degree,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,33,Malta,Health and Wellness,College Degree,Music and Performing Arts,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Achieving financial security
Female,43,Bahamas,Trades and Services,High School Graduate,Science and Technology,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,35,Algeria,Trades and Services,High School Graduate,Film and Television,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,35,Madagascar,Education and Research,Post-Graduate Degree,Politics and Social Activism,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,42,Sao Tome and Principe,Arts and Entertainment,Post-Graduate Degree,Politics and Social Activism,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,24,Honduras,Education and Research,High School Graduate,Music and Performing Arts,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Male,45,Qatar,Business and Finance,College Degree,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,49,Mayotte,Health and Wellness,Some College,Entrepreneurship and Business,Reading or writing,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,20,Chile,Tech and Engineering,College Degree,Sports and Athletics,Reading or writing,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Female,33,Micronesia,Health and Wellness,High School Graduate,Sports and Athletics,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Male,36,Albania,Public Service and Non-Profit,College Degree,Film and Television,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,66,Somalia,Tech and Engineering,College Degree,Film and Television,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,42,Comoros,Public Service and Non-Profit,College Degree,Entrepreneurship and Business,Reading or writing,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,64,Liberia,Arts and Entertainment,Post-Graduate Degree,Entrepreneurship and Business,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,64,Niger,Trades and Services,Some College,Film and Television,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,24,Iraq,Business and Finance,High School Graduate,Film and Television,Reading or writing,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,23,Belgium,Health and Wellness,High School Graduate,Film and Television,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Achieving financial security
Female,42,Northern Mariana Islands,Health and Wellness,College Degree,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,67,Latvia,Business and Finance,Some College,Sports and Athletics,Reading or writing,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,30,Qatar,Health and Wellness,College Degree,Science and Technology,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,49,French Polynesia,Health and Wellness,High School Graduate,Literature and Writing,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,45,United Arab Emirates,Trades and Services,College Degree,Politics and Social Activism,Reading or writing,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Male,59,Sao Tome and Principe,Tech and Engineering,High School Graduate,Literature and Writing,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,30,Luxembourg,Public Service and Non-Profit,Some College,Literature and Writing,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Male,69,United Arab Emirates,Public Service and Non-Profit,College Degree,Literature and Writing,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,59,San Marino,Business and Finance,High School Graduate,Film and Television,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,52,French Polynesia,Tech and Engineering,Some College,Film and Television,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,52,Nigeria,Tech and Engineering,Post-Graduate Degree,Entrepreneurship and Business,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,54,Belgium,Tech and Engineering,Post-Graduate Degree,Music and Performing Arts,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,65,San Marino,Arts and Entertainment,High School Graduate,Literature and Writing,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,49,Benin,Trades and Services,High School Graduate,Sports and Athletics,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,32,Afghanistan,Education and Research,Some College,Film and Television,Reading or writing,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,53,Serbia,Tech and Engineering,Some College,Science and Technology,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,64,Niue,Education and Research,Post-Graduate Degree,Film and Television,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,22,Germany,Business and Finance,High School Graduate,Film and Television,Reading or writing,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,31,Yemen,Education and Research,College Degree,Politics and Social Activism,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,23,Dominican Republic,Public Service and Non-Profit,High School Graduate,Literature and Writing,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,49,British Indian Ocean Territory (Chagos Archipelago),Trades and Services,High School Graduate,Film and Television,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,29,Australia,Business and Finance,College Degree,Literature and Writing,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Achieving financial security
Female,46,Costa Rica,Health and Wellness,College Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,67,Morocco,Tech and Engineering,College Degree,Science and Technology,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Male,55,Gambia,Trades and Services,High School Graduate,Film and Television,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Male,21,Malaysia,Trades and Services,Some High School,Science and Technology,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,58,Estonia,Health and Wellness,High School Graduate,Film and Television,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,65,Benin,Tech and Engineering,Some College,Sports and Athletics,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,41,Hungary,Tech and Engineering,College Degree,Sports and Athletics,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,61,Swaziland,Student / Retired / Unemployed / Prefer not to say,College Degree,Music and Performing Arts,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,65,Tokelau,Public Service and Non-Profit,High School Graduate,Film and Television,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,31,Myanmar,Tech and Engineering,High School Graduate,Politics and Social Activism,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,39,Guadeloupe,Health and Wellness,High School Graduate,Literature and Writing,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,24,China,Education and Research,College Degree,Literature and Writing,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,26,Uruguay,Business and Finance,College Degree,Literature and Writing,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,64,Sri Lanka,Public Service and Non-Profit,High School Graduate,Sports and Athletics,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,47,French Polynesia,Tech and Engineering,College Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,21,Liechtenstein,Public Service and Non-Profit,College Degree,Film and Television,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,64,Gabon,Education and Research,High School Graduate,Politics and Social Activism,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,60,San Marino,Public Service and Non-Profit,Post-Graduate Degree,Sports and Athletics,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,59,Thailand,Student / Retired / Unemployed / Prefer not to say,Some College,Film and Television,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,56,Bolivia,Health and Wellness,College Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,49,Niue,Arts and Entertainment,College Degree,Film and Television,Reading or writing,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,69,Andorra,Business and Finance,Some College,Entrepreneurship and Business,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,38,Thailand,Tech and Engineering,High School Graduate,Film and Television,Reading or writing,"Primarily for work, currently focusing on professional growth",Achieving financial security
Female,36,Cyprus,Health and Wellness,College Degree,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,59,Turks and Caicos Islands,Arts and Entertainment,Some High School,Music and Performing Arts,Reading or writing,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,32,Korea,Arts and Entertainment,Some College,Sports and Athletics,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,34,Bolivia,Trades and Services,College Degree,Politics and Social Activism,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,23,Israel,Business and Finance,College Degree,Literature and Writing,Reading or writing,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,53,Switzerland,Business and Finance,College Degree,Sports and Athletics,Reading or writing,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,54,Cuba,Tech and Engineering,Post-Graduate Degree,Science and Technology,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,34,Sao Tome and Principe,Public Service and Non-Profit,College Degree,Sports and Athletics,Reading or writing,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,61,Belgium,Trades and Services,High School Graduate,Politics and Social Activism,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,25,Sao Tome and Principe,Public Service and Non-Profit,High School Graduate,Science and Technology,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,18,United Arab Emirates,Student / Retired / Unemployed / Prefer not to say,Some High School,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,27,Turkey,Student / Retired / Unemployed / Prefer not to say,Some College,Sports and Athletics,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,40,Gambia,Business and Finance,High School Graduate,Music and Performing Arts,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,60,Liechtenstein,Business and Finance,College Degree,Sports and Athletics,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,61,Cape Verde,Education and Research,College Degree,Politics and Social Activism,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,47,Chile,Tech and Engineering,High School Graduate,Music and Performing Arts,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,38,Gambia,Public Service and Non-Profit,High School Graduate,Sports and Athletics,Reading or writing,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,54,Dominican Republic,Public Service and Non-Profit,Some High School,Politics and Social Activism,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,65,Barbados,Business and Finance,High School Graduate,Politics and Social Activism,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Male,30,Wallis and Futuna,Business and Finance,Some College,Literature and Writing,Reading or writing,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,61,Denmark,Student / Retired / Unemployed / Prefer not to say,College Degree,Politics and Social Activism,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,29,Palau,Trades and Services,Some College,Politics and Social Activism,Reading or writing,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,38,Brazil,Tech and Engineering,Post-Graduate Degree,Film and Television,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,32,Nauru,Education and Research,Some College,Sports and Athletics,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,62,Honduras,Health and Wellness,Some College,Politics and Social Activism,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,47,Bulgaria,Tech and Engineering,Some College,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,18,Israel,Education and Research,Some High School,Sports and Athletics,Reading or writing,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,65,Antigua and Barbuda,Student / Retired / Unemployed / Prefer not to say,Some High School,Film and Television,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,43,Korea,Tech and Engineering,Post-Graduate Degree,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Achieving financial security
Female,52,Kuwait,Arts and Entertainment,Some College,Science and Technology,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,36,Rwanda,Health and Wellness,Post-Graduate Degree,Politics and Social Activism,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,21,Moldova,Education and Research,Post-Graduate Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,33,Estonia,Tech and Engineering,Some High School,Music and Performing Arts,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,26,Armenia,Trades and Services,College Degree,Politics and Social Activism,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,56,Kiribati,Tech and Engineering,High School Graduate,Film and Television,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,22,Albania,Arts and Entertainment,College Degree,Politics and Social Activism,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Non-binary/Prefer not to say,26,Mauritania,Business and Finance,High School Graduate,Film and Television,Reading or writing,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,45,Kazakhstan,Student / Retired / Unemployed / Prefer not to say,High School Graduate,Literature and Writing,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,66,Trinidad and Tobago,Tech and Engineering,High School Graduate,Film and Television,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,31,Reunion,Trades and Services,Some College,Film and Television,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,30,Oman,Public Service and Non-Profit,College Degree,Entrepreneurship and Business,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,57,Croatia,Tech and Engineering,Post-Graduate Degree,Literature and Writing,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,26,Montserrat,Tech and Engineering,High School Graduate,Music and Performing Arts,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,67,Montenegro,Public Service and Non-Profit,Post-Graduate Degree,Film and Television,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,66,Cook Islands,Arts and Entertainment,High School Graduate,Politics and Social Activism,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,49,Tunisia,Education and Research,High School Graduate,Politics and Social Activism,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,30,French Guiana,Tech and Engineering,Post-Graduate Degree,Entrepreneurship and Business,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,22,Turks and Caicos Islands,Tech and Engineering,Some High School,Politics and Social Activism,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,36,Qatar,Health and Wellness,Some High School,Science and Technology,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Female,45,Guatemala,Tech and Engineering,Some College,Politics and Social Activism,Reading or writing,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,23,Bulgaria,Public Service and Non-Profit,Some College,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Achieving financial security
Female,41,Cuba,Education and Research,College Degree,Literature and Writing,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,19,Cuba,Tech and Engineering,College Degree,Film and Television,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Male,45,Heard Island and McDonald Islands,Student / Retired / Unemployed / Prefer not to say,Post-Graduate Degree,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,60,Swaziland,Business and Finance,Some College,Science and Technology,Reading or writing,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,60,Netherlands,Business and Finance,High School Graduate,Sports and Athletics,Reading or writing,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,24,Kuwait,Public Service and Non-Profit,Post-Graduate Degree,Science and Technology,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,25,Italy,Tech and Engineering,High School Graduate,Sports and Athletics,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,43,Papua New Guinea,Business and Finance,High School Graduate,Sports and Athletics,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,40,Moldova,Public Service and Non-Profit,High School Graduate,Sports and Athletics,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,59,Australia,Health and Wellness,Post-Graduate Degree,Literature and Writing,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,23,Sao Tome and Principe,Tech and Engineering,High School Graduate,Science and Technology,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,56,Nigeria,Arts and Entertainment,Some College,Music and Performing Arts,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Male,54,Puerto Rico,Education and Research,High School Graduate,Film and Television,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,64,Fiji,Education and Research,Some College,Sports and Athletics,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,45,Bahrain,Public Service and Non-Profit,Some High School,Entrepreneurship and Business,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,21,Cuba,Public Service and Non-Profit,High School Graduate,Sports and Athletics,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,21,Taiwan,Arts and Entertainment,College Degree,Literature and Writing,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,51,Malta,Arts and Entertainment,High School Graduate,Music and Performing Arts,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,51,Turkmenistan,Public Service and Non-Profit,Some College,Literature and Writing,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Male,39,American Samoa,Tech and Engineering,High School Graduate,Politics and Social Activism,Reading or writing,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Female,58,Iraq,Tech and Engineering,Some High School,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,43,Cook Islands,Arts and Entertainment,High School Graduate,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,27,Spain,Business and Finance,Some High School,Politics and Social Activism,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,51,Somalia,Arts and Entertainment,High School Graduate,Sports and Athletics,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,64,Reunion,Trades and Services,High School Graduate,Sports and Athletics,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Achieving financial security
Female,49,Korea,Trades and Services,Some High School,Politics and Social Activism,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,20,Lithuania,Business and Finance,Some College,Science and Technology,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Non-binary/Prefer not to say,39,Wallis and Futuna,Health and Wellness,College Degree,Politics and Social Activism,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,26,India,Business and Finance,High School Graduate,Science and Technology,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,40,Italy,Tech and Engineering,College Degree,Sports and Athletics,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Male,33,Hong Kong,Health and Wellness,High School Graduate,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,43,Bhutan,Business and Finance,High School Graduate,Science and Technology,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,69,French Polynesia,Business and Finance,High School Graduate,Sports and Athletics,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,30,Yemen,Business and Finance,College Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,26,Nigeria,Education and Research,Some College,Film and Television,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,32,Mauritania,Arts and Entertainment,Post-Graduate Degree,Music and Performing Arts,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,25,Myanmar,Public Service and Non-Profit,High School Graduate,Literature and Writing,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Achieving financial security
